candidate,party,criminal_cases,education,age,total_assets,total_assets_rs,liabilities,liabilities_rs,2026_constituency,2026_district,is_winner,myneta_url,self_profession,spouse_profession,education_details,criminal_cases_details,election_expenditure,pan_given,serious_ipc_counts,movable_assets_rs,immovable_assets_rs
Rajendran S,AIADMK,9,8th Pass,66,"Rs 3,64,20,864 ~ 3 Crore+",36420864,"Rs 27,35,706 ~ 27 Lacs+",2735706,ARIYALUR,ARIYALUR,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1148,Member Of The Legislative Assembly From 2016 To 2021 Ariyalur Legislative Assembly Constituency,House Wife,"Category: 8th Pass 9th Grade From Govt Higher Secondary School, Ariyalur In 1974",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269); charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270); charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290); charges related to Negligent conduct with respect to fire or combustible matter (IPC Section-285); charges related to Punishment for Rioting (IPC Section-147); charges related to Disobedience to quarantine rule (IPC Section-271); charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Committing public nuisance in cases not otherwise provided for. (BNS Section-292),,Y,0,16827798,19593066
Elaiyaraja C,IND,0,Graduate Professional,35,"Rs 6,51,483 ~ 6 Lacs+",651483,Rs 0 ~,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2964,Lawyer,NIL,"Category: Graduate Professional B.L, B.A, From Govt Law College Trichy In 2009-2014",,,Y,0,651483,0
Jothibasu K,IND,0,Doctorate,42,"Rs 1,02,90,000 ~ 1 Crore+",10290000,"Rs 4,00,000 ~ 4 Lacs+",400000,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=654,Managing Director,"Assistant Professor, Department Of Microbiology , Central University Of Tamil Nadu","Category: Doctorate PhD , Biotechnology Department Of Biotechnology Bharathiyar University 2016",,,Y,0,4720000,5570000
Krishnamoorthy C,IND,0,Illiterate,43,"Rs 7,42,387 ~ 7 Lacs+",742387,,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2965,Agriculture Wage,NIL,Category: Illiterate Nothing,,,Y,0,742387,0
Kumar K,IND,0,Graduate,53,"Rs 1,53,25,493 ~ 1 Crore+",15325493,"Rs 2,26,818 ~ 2 Lacs+",226818,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2966,"Chief Executive Officer - Schella Farmer Producer Company Limited, Viragalur, Ariyalur, Business Consultancy Services For Export Imports, Ariyalur, Schella Fashions - Garment Manufacturing Business, Ariyalur, Founder President - Schella Foundation Skill","Diploma Elementary Education Teacher - Del Ed, Director - Schella Farmer Producer Company Limited, Ariyalur, Central Govt Tot Certified Trainer For Vocational Training.",Category: Graduate Bachelore Of Science From Zoology Govt Arts College Ariyalur Bharathidasan University Thiruchirapalli In 1992,,,Y,0,10974220,4351273
Latha Balu,DMK,0,Post Graduate,49,"Rs 1,51,24,444 ~ 1 Crore+",15124444,"Rs 8,23,300 ~ 8 Lacs+",823300,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1147,Social Servies Politics Tailoring Training,Agriculture,Category: Post Graduate MA (Sociology) From Tamil Nadu Open University In Jan 2006,,,Y,0,10124444,5000000
Pugazhendhi D,Naam Tamilar Katchi,1,Others,26,"Rs 1,86,000 ~ 1 Lacs+",186000,,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=13,Agriculture,NA,"Category: Others ITI from Sri Bakthavatchalam I.T.I, Thiruvallur District in 2019",charges related to Punishment for Criminal intimidation. (BNS Section-351(2)); charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Punishment for voluntarily causing hurt (BNS Section-115(2)),,Y,0,186000,0
Rajkumar K,IND,0,Illiterate,40,"Rs 4,30,649 ~ 4 Lacs+",430649,Rs 0 ~,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2968,Agriculture,NIL,Category: Illiterate No,,,Y,0,430649,0
Rajkumar S,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Others,50,"Rs 12,79,000 ~ 12 Lacs+",1279000,,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2963,Daily wages,"Guest Lecturer, Tamil Department, Govt.Arts College Ariyalur",Category: Others DCE - Annai J.K.K. Sampoorani Ammal Polytechnic Thookkanaicken Palayam 04.05.98,,,Y,0,979000,300000
Semmalai T,IND,1,10th Pass,51,"Rs 42,88,000 ~ 42 Lacs+",4288000,"Rs 7,85,000 ~ 7 Lacs+",785000,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2967,Agriculture,House Wife,Category: 10th Pass 10th Std. From Govt High School Irumbulikurichi In 19989,"charges related to Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act (IPC Section-329); charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Punishment for wrongful Confinement (IPC Section-342)",,Y,2,1438000,2850000
