candidate_id,myneta_url,candidate,constituency_id,constituency,age,party_code,criminal_cases_flag,education_level,movable_assets,movable_assets_rs,movable_assets_img,immovable_assets,immovable_assets_rs,immovable_assets_img,total_assets,total_assets_rs,total_assets_img,liabilities,liabilities_rs,liabilities_img,pan_given,serious_ipc_counts
2964,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2964,Elaiyaraja C,1,ARIYALUR,35,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
654,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=654,Jothibasu K,1,ARIYALUR,42,IND,No,Doctorate,,,1,"55,70,000 ~ 55 Lacs+",5570000,,,,1,"4,00,000 ~ 4 Lacs+",400000,,Y,0
2965,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2965,Krishnamoorthy C,1,ARIYALUR,43,IND,No,Illiterate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
2966,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2966,Kumar K,1,ARIYALUR,53,IND,No,Graduate,,,1,"43,51,273 ~ 43 Lacs+",4351273,,,,1,"2,26,818 ~ 2 Lacs+",226818,,Y,0
1147,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1147,Latha Balu,1,ARIYALUR,49,DMK,No,Post Graduate,,,1,"50,00,000 ~ 50 Lacs+",5000000,,,,1,"8,23,300 ~ 8 Lacs+",823300,,Y,0
13,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=13,Pugazhendhi D,1,ARIYALUR,26,Naam Tamilar Katchi,Yes 1,Others,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1148,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1148,Rajendran S,1,ARIYALUR,66,AIADMK,Yes 9,8th Pass,,,1,"1,95,93,066 ~ 1 Crore+",19593066,,,,1,"27,35,706 ~ 27 Lacs+",2735706,,Y,0
2968,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2968,Rajkumar K,1,ARIYALUR,40,IND,No,Illiterate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
2963,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=2963,Rajkumar S,1,ARIYALUR,50,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,No,Others,,,1,"3,00,000 ~ 3 Lacs+",300000,,,,1,0 ~,0,,Y,0
2967,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2967,Semmalai T,1,ARIYALUR,51,IND,Yes 1,10th Pass,,,1,"28,50,000 ~ 28 Lacs+",2850000,,,,1,"7,85,000 ~ 7 Lacs+",785000,,Y,2
