party,constituency,candidate
DMK,ALANDUR,T.M. Anbarasan
DMK,ALANGUDI,Siva V. Meyyanathan
DMK,ALANGULAM,Paul Manoj Pandian
DMK,AMBATTUR,Dr. A.P. Poornima
DMK,AMBUR,A.C. Vilvanathan
DMK,ANAIKATTU,A.P. Nandakumar
DMK,ANDIPATTI,A. Maharajan
DMK,ANNA NAGAR,N. Chitrarasu
DMK,ANTHIYUR,M. Sivabalan
DMK,ARANI,Mahalakshmi Govarthanan
DMK,ARAVAKURICHI,Monjanour R. Elango
DMK,ARCOT,J.L. Eswarappan
DMK,ARIYALUR,Latha Balu
DMK,ARUPPUKKOTTAI,K.K.S.S.R. Ramachandran
DMK,ATHOOR,I. Periyasamy
DMK,AVADI,S.M. Nasar
DMK,AVANASHI,V. Kokila Mani
DMK,BARGUR,D. Mathiyazhagan
DMK,BHAVANI,K.A. Chandrasekar
DMK,BHUVANAGIRI,Durai K. Saravanan
DMK,BODINAYAKKANUR,O. Panneerselvam
DMK,CHENGALPATTU,M.K.D. Karthik Dhandapani
DMK,CHENGAM,M.P. Giri
DMK,CHEPAUK-THIRUVALLIKENI,Udhayanidhi Stalin
DMK,CHEYYAR,O. Jothi
DMK,COIMBATORE NORTH,D. Senthamizh Selvan
DMK,COIMBATORE SOUTH,V. Senthilbalaji
DMK,COONOOR,K.M. Raju
DMK,CUMBUM,N. Ramakrishnan
DMK,DHARAPURAM,T. Indirani
DMK,DINDIGUL,I.P. Senthilkumar
DMK,DR. RADHAKRISHNAN NAGAR,J. John Ebenezer
DMK,EDAPPADI,C. Kasi
DMK,EGMORE,S. Prasanna
DMK,ERODE WEST,S. Muthusamy
DMK,GANGAVALLI,K. Chinnadurai
DMK,GINGEE,Gingee K.S. Masthan
DMK,GOBICHETTIPALAYAM,N. Nallasivam
DMK,GUDALUR,M. Thiravidamani
DMK,GUMMIDIPOONDI,T.J. Govindarajan
DMK,HARBOUR,P.K. Sekarbabu
DMK,HARUR,A. Shanmugam
DMK,JAYANKONDAM,K.S.K. Kannan
DMK,JOLARPET,Kavitha Dhandapani
DMK,KALASAPAKKAM,P.S.T. Saravanan
DMK,KANCHEEPURAM,S. Nithya
DMK,KANGAYAM,M.P. Saminathan
DMK,KANNIYAKUMARI,R. Mahesh
DMK,KARUR,Aasi M. Thiagarajan
DMK,KATPADI,Duraimurugan
DMK,KILPENNATHUR,K. Pichandi
DMK,KILVAITHINANKUPPAM,Dr. Rajeswari Mohangandhi
DMK,KINATHUKADAVU,S. Sabari Karthikeyan
DMK,KOLATHUR,M.K. Stalin
DMK,KOVILPATTI,K. Karunanidhi
DMK,KRISHNARAYAPURAM,C.K. Raja
DMK,KULITHALAI,Suriyanur A. Chandran
DMK,KUMARAPALAYAM,S. Balu
DMK,KUMBAKONAM,G. Anbalagan
DMK,KUNNAM,S.S. Sivasankar
DMK,KURINJIPADI,M.R.K. Panneerselvam
DMK,LALGUDI,T. Parivallal Thangavel
DMK,MADATHUKULAM,R. Jayaramakrishnan
DMK,MADHAVARAM,S. Sudharsanam
DMK,MADURAI CENTRAL,Palanivel Thiaga Rajan
DMK,MADURAI EAST,P. Moorthy
DMK,MADURAI NORTH,G. Thalapathi
DMK,MADURAI WEST,R. Balaji
DMK,MADURANTAKAM,S. Ponmalar
DMK,MADURAVOYAL,Karambakkam K. Ganapathy
DMK,MANAMADURAI,A. Tamilarasi
DMK,MANNACHANALLUR,S. Kathiravan
DMK,MANNARGUDI,T.R.B. Rajaa
DMK,METTUPALAYAM,K. Kavitha Sundaram
DMK,METTUR,M. Midhun Chakaravarthy
DMK,MUDUKULATHUR,R.S. Rajakannappan
DMK,MUSIRI,N.S. Karunairaaja
DMK,MYLAPORE,Dha. Velu
DMK,NAGERCOIL,S. Austin
DMK,NAMAKKAL,P. Rani
DMK,NEYVELI,Saba. Rajendran
DMK,NILAKOTTAI,S. Nagajothi
