candidate,party,criminal_cases,education,age,myneta_url
Chinnappa K,DMK,4,Graduate Professional,73,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=824
Deva P,IND,0,12th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=823
Durai.Manivel,Amma Makkal Munnettra Kazagam,1,8th Pass,61,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=304
Jawahar P,Indiya Jananayaka Katchi,0,Doctorate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1690
Kumar J,IND,0,12th Pass,32,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=825
Manikannan M,IND,0,12th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=822
Rajendran S,AIADMK,0,8th Pass,61,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=251
Ramesh K,IND,0,Post Graduate,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1689
Savarianandham V,BSP,0,Graduate Professional,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=820
Sivathasan V,IND,0,12th Pass,39,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1687
Suguna Kumar,Naam Tamilar Katchi,0,10th Pass,34,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=362
Thanga. Shanmuga Sundaram,New Generation Peoples Party,2,Post Graduate,43,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=305
Ebenezer. J.J. Alias John Ebenezer.J,DMK,0,Post Graduate,45,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1013
Babu Mailan . A,RPI(A),0,Others,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1009
Boothirajan.G,IND,0,10th Pass,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=289
Daniel Sachin Mani.E,IND,0,Graduate,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=394
Devakumar.R,IND,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=389
Devaraj.M,IND,0,8th Pass,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1812
Dr. Kalidas . P,Amma Makkal Munnettra Kazagam,0,Post Graduate,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1004
Ethiraj.R,IND,0,12th Pass,46,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2306
Franklin.D,IND,0,Post Graduate,42,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=395
Gowrishankar . K,Naam Tamilar Katchi,0,10th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1006
Gunasekaran.G,IND,0,Post Graduate,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=388
Kalidass,IND,0,5th Pass,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1821
Kandeepan.G,IND,0,12th Pass,49,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1811
Madhan Raj . D,IND,0,Graduate Professional,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1008
Marimuthu.P,IND,0,5th Pass,65,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=11
Mohan . R,United States of India Party,0,10th Pass,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1010
Purushothaman . K,IND,0,Graduate Professional,26,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1818
Raajesh.R.S.,AIADMK,0,10th Pass,48,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=288
Rajesh . I,IND,0,Graduate,40,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1007
Rajesh . S,IND,0,Graduate Professional,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1816
Ramadass . E,Makkal Nalvaazhvuk Katchi,0,8th Pass,68,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1012
Santhakumar . A,IND,0,Graduate Professional,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1817
Sasidaran.S,IND,0,Post Graduate,37,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1820
Sivakumar.S,SUCI(C),0,Others,31,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=13
Venkatraman . C,IND,0,10th Pass,27,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1819
Venugopal.D,SHS,2,10th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=12
Vijayan.P,BSP,0,Graduate Professional,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=386
Vivek.C,IND,0,12th Pass,38,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=391
Ayyappan P,AIADMK,1,Graduate,56,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=746
Arumugam K,IND,0,Literate,51,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3131
Alagumurugesan K,IND,0,12th Pass,59,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3130
Anantha Kumar N,IND,0,12th Pass,50,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3132
Arunkumar M,IND,0,Post Graduate,33,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3129
Bharath V,My India Party,0,Graduate,29,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3127
Dhanasekaran T,IND,0,12th Pass,35,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3134
Iyndhukovilan G,Naam Tamilar Katchi,0,Post Graduate,54,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=141
Mahendran I,Amma Makkal Munnettra Kazagam,1,Graduate,55,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3128
Thiruselvam C,Puthiya Tamilagam,3,5th Pass,44,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3126
Panneerselvam,DMK,11,Post Graduate,66,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2025
Anusuya,IND,0,12th Pass,41,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2539
Balu,Amma Makkal Munnettra Kazagam,0,Post Graduate,63,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2538
