candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
Chinnappa K,DMK,4,Graduate Professional,73,"Rs 1,46,71,830 ~ 1 Crore+","Rs 29,95,179 ~ 29 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=824,14671830,2995179,1,0
Deva P,IND,0,12th Pass,40,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=823,72000,0,0,0
Durai.Manivel,Amma Makkal Munnettra Kazagam,1,8th Pass,61,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=304,,,0,0
Jawahar P,Indiya Jananayaka Katchi,0,Doctorate,40,"Rs 43,84,239 ~ 43 Lacs+","Rs 31,00,000 ~ 31 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1690,4384239,3100000,0,0
Kumar J,IND,0,12th Pass,32,"Rs 15,00,274 ~ 15 Lacs+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=825,1500274,0,0,0
Manikannan M,IND,0,12th Pass,44,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=822,,,0,0
Rajendran S,AIADMK,0,8th Pass,61,"Rs 1,07,81,933 ~ 1 Crore+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=251,10781933,0,0,0
Ramesh K,IND,0,Post Graduate,44,"Rs 12,49,583 ~ 12 Lacs+","Rs 3,15,238 ~ 3 Lacs+",ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1689,1249583,315238,0,0
Ravichandran S,IND,0,10th Pass,29,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1688,,,0,0
Savarianandham V,BSP,0,Graduate Professional,45,"Rs 10,300 ~ 10 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=820,10300,0,0,0
Sivathasan V,IND,0,12th Pass,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1687,20000,0,0,0
Suguna Kumar,Naam Tamilar Katchi,0,10th Pass,34,,,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=362,,,0,0
Thanga. Shanmuga Sundaram,New Generation Peoples Party,2,Post Graduate,43,"Rs 52,81,537 ~ 52 Lacs+",Rs 0 ~,ARIYALUR,ARIYALUR,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=305,5281537,0,0,0
Ebenezer. J.J. Alias John Ebenezer.J,DMK,0,Post Graduate,45,"Rs 15,80,302 ~ 15 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1013,1580302,0,1,0
Babu Mailan . A,RPI(A),0,Others,49,"Rs 42,10,279 ~ 42 Lacs+","Rs 7,00,000 ~ 7 Lacs+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1009,4210279,700000,0,0
Boothirajan.G,IND,0,10th Pass,40,"Rs 95,46,625 ~ 95 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=289,9546625,0,0,0
Daniel Sachin Mani.E,IND,0,Graduate,38,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=394,,,0,0
Devakumar.R,IND,0,Graduate Professional,31,"Rs 10,41,000 ~ 10 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=389,1041000,0,0,0
Devaraj.M,IND,0,8th Pass,42,"Rs 46,000 ~ 46 Thou+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1812,46000,0,0,0
Dr. Kalidas . P,Amma Makkal Munnettra Kazagam,0,Post Graduate,54,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1004,,,0,0
Ethiraj.R,IND,0,12th Pass,46,"Rs 7,66,738 ~ 7 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2306,766738,0,0,0
Fazil . A,Makkal Needhi Maiam,0,Post Graduate,35,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1005,,,0,0
Franklin.D,IND,0,Post Graduate,42,"Rs 6,73,193 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=395,673193,0,0,0
Gowrishankar . K,Naam Tamilar Katchi,0,10th Pass,44,"Rs 66,25,617 ~ 66 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1006,6625617,0,0,0
Gunasekaran.G,IND,0,Post Graduate,65,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=388,,,0,0
Kalidass,IND,0,5th Pass,55,"Rs 5,61,500 ~ 5 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1821,561500,0,0,0
Kandeepan.G,IND,0,12th Pass,49,"Rs 8,60,000 ~ 8 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1811,860000,0,0,0
Madhan Raj . D,IND,0,Graduate Professional,44,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1008,,,0,0
Marimuthu.P,IND,0,5th Pass,65,"Rs 51,82,400 ~ 51 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=11,5182400,0,0,0
Mohan . R,United States of India Party,0,10th Pass,63,"Rs 8,000 ~ 8 Thou+","Rs 16,50,000 ~ 16 Lacs+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1010,8000,1650000,0,0
Premkumar.P,IND,0,Post Graduate,42,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=393,,,0,0
Purushothaman . K,IND,0,Graduate Professional,26,"Rs 2,89,331 ~ 2 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1818,289331,0,0,0
Raajesh.R.S.,AIADMK,0,10th Pass,48,"Rs 5,44,70,228 ~ 5 Crore+","Rs 1,87,87,700 ~ 1 Crore+",DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=288,54470228,18787700,0,0
Rajesh . I,IND,0,Graduate,40,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1007,,,0,0
Rajesh . S,IND,0,Graduate Professional,35,"Rs 6,61,780 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1816,661780,0,0,0
Ramadass . E,Makkal Nalvaazhvuk Katchi,0,8th Pass,68,"Rs 12,29,000 ~ 12 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1012,1229000,0,0,0
Santhakumar . A,IND,0,Graduate Professional,31,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1817,,,0,0
Sasidaran.S,IND,0,Post Graduate,37,"Rs 5,38,093 ~ 5 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1820,538093,0,0,0
Sivakumar.S,SUCI(C),0,Others,31,"Rs 26,488 ~ 26 Thou+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=13,26488,0,0,0
Sridhar . C,IND,0,Graduate Professional,39,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1815,,,0,0
Venkatraman . C,IND,0,10th Pass,27,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1819,100000,0,0,0
Venugopal.D,SHS,2,10th Pass,35,"Rs 4,37,080 ~ 4 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=12,437080,0,0,0
Vijayan.P,BSP,0,Graduate Professional,35,,,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=386,,,0,0
Vivek.C,IND,0,12th Pass,38,"Rs 6,09,258 ~ 6 Lacs+",Rs 0 ~,DR.RADHAKRISHNAN NAGAR,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=391,609258,0,0,0
Ayyappan P,AIADMK,1,Graduate,56,"Rs 50,13,217 ~ 50 Lacs+","Rs 10,61,000 ~ 10 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=746,5013217,1061000,1,0
Arumugam K,IND,0,Literate,51,"Rs 1,11,65,308 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3131,11165308,2000000,0,0
Alagumurugesan K,IND,0,12th Pass,59,"Rs 77,000 ~ 77 Thou+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3130,77000,0,0,0
Anantha Kumar N,IND,0,12th Pass,50,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3132,,,0,0
Arunkumar M,IND,0,Post Graduate,33,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3129,120000,0,0,0
Bharath V,My India Party,0,Graduate,29,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3127,,,0,0
Dhanasekaran T,IND,0,12th Pass,35,"Rs 14,35,000 ~ 14 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3134,1435000,0,0,0
Iyndhukovilan G,Naam Tamilar Katchi,0,Post Graduate,54,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=141,125000,0,0,0
Mahendran A,IND,0,10th Pass,54,,,USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3135,,,0,0
Mahendran I,Amma Makkal Munnettra Kazagam,1,Graduate,55,"Rs 5,43,15,740 ~ 5 Crore+","Rs 1,73,26,448 ~ 1 Crore+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3128,54315740,17326448,0,0
Thiruselvam C,Puthiya Tamilagam,3,5th Pass,44,"Rs 24,48,000 ~ 24 Lacs+","Rs 7,50,000 ~ 7 Lacs+",USILAMPATTI,MADURAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=3126,2448000,750000,0,0
Panneerselvam,DMK,11,Post Graduate,66,"Rs 2,08,90,000 ~ 2 Crore+","Rs 40,23,572 ~ 40 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2025,20890000,4023572,1,0
Anusuya,IND,0,12th Pass,41,"Rs 8,02,000 ~ 8 Lacs+",Rs 0 ~,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2539,802000,0,0,0
Balu,Amma Makkal Munnettra Kazagam,0,Post Graduate,63,"Rs 62,94,367 ~ 62 Lacs+","Rs 9,80,000 ~ 9 Lacs+",SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2538,6294367,980000,0,0
Barathi,IND,0,Post Graduate,33,,,SIRKAZHI (SC),NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2536,,,0,0
